gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,avg_monthly_spend,spend_vs_expected,n_services,service_density,is_long_tenure,is_new_customer,tenure_x_contract_monthly,charges_per_service,has_security_bundle,payment_auto,Churn
1,0,0,1,0.9130434782608695,1,1,1,0,1,0,1,1,0,0.6688132474701014,1.768354570637119,1,0,0,1,0,0,0,1.9367671704289915,-1.26795392295889,5,7.475917295292844,1,0,0,0.11146887457835024,1,0,0
0,0,1,1,-0.41304347826086957,1,0,0,0,1,1,0,0,0,-0.27874885004599803,-0.2568051708217913,0,0,0,0,1,0,0,0.6217403398872648,-0.9004891899332629,2,7.174891752121012,0,1,1,-0.09291628334866602,0,1,1
0,0,0,0,-0.17391304347826086,1,0,0,1,1,0,0,1,1,0.3624655013799449,0.13752169898430291,1,0,0,0,0,1,0,-0.7907543159970588,1.1532198173770036,3,8.276626911945549,0,0,0,0.09061637534498622,0,0,0
1,1,0,0,-0.6086956521739131,0,0,0,0,1,0,0,1,1,-0.5648574057037719,-0.40120406278855025,0,0,0,0,0,1,0,0.6591220431388319,-1.223979448842604,2,3.5407103440518823,0,1,1,-0.1882858019012573,0,0,1
1,0,1,0,-0.3695652173913043,1,0,0,0,0,0,0,0,0,-0.9300827966881325,-0.3531597414589104,0,1,1,0,0,0,0,0.9556112979546814,-1.885694094642814,0,0.0,0,1,0,-0.9300827966881325,0,0,0
1,0,0,0,-0.6086956521739131,1,0,0,0,0,0,0,0,0,-0.9236430542778289,-0.4069658356417359,0,1,0,0,0,0,1,0.6685878283771413,-1.5922308826549703,0,0.0,0,1,1,-0.9236430542778289,0,0,1
0,0,1,0,0.6304347826086957,1,1,0,1,0,1,0,0,1,-0.19227230910763562,0.6227516158818098,0,0,0,1,1,0,0,0.9878113410772952,-1.1800836501849308,3,15.602789663959983,1,0,0,-0.048068077276908906,0,1,0
1,0,1,1,0.43478260869565216,1,0,1,1,0,1,0,0,0,-0.19779208831646722,0.46473130193905826,0,0,0,0,1,0,0,1.0688795360369012,-1.2666716243533684,3,15.167365177088625,1,0,0,-0.049448022079116805,0,1,0
0,0,0,0,0.021739130434782608,1,0,1,1,0,0,0,0,1,-0.27690892364305425,0.03933518005540166,0,0,0,0,0,0,0,1.8093350531360322,-2.0862439767790866,2,7.222565279307448,0,0,0,-0.09230297454768475,0,0,0
1,0,1,1,0.391304347826087,1,1,0,1,0,0,1,1,1,0.5335786568537259,0.9903379501385041,1,0,0,0,0,1,0,2.530857182607822,-1.997278525754096,4,7.496537674592323,1,0,0,0.10671573137074516,0,0,1
1,0,1,1,-0.6086956521739131,0,0,0,1,0,0,0,0,0,-0.7387304507819686,-0.4039963065558633,0,0,0,0,0,1,0,0.663709308292782,-1.4024397590747506,1,1.353671891106668,0,1,1,-0.3693652253909843,0,0,1
1,0,1,0,0.9347826086956522,1,1,1,1,1,1,1,1,1,0.3661453541858327,1.4690969529085873,0,0,0,1,1,0,0,1.5715904079217733,-1.2054450537359407,7,19.118038237920686,1,0,0,0.04576816927322909,1,1,0
0,0,0,1,-0.2608695652173913,1,0,0,0,0,0,1,1,1,-0.1039558417663292,-0.08993536472760849,0,0,0,0,0,0,1,0.34475355301111904,-0.44870939477744826,2,19.23875298650891,0,0,0,-0.034651947255443065,0,0,1
0,1,1,0,0.9130434782608695,1,1,1,1,1,1,0,0,1,0.4783808647654094,1.5865484764542936,1,0,0,1,1,0,0,1.7376464282181383,-1.259265563452729,5,10.451901228429547,1,0,0,0.07973014412756824,1,1,0
1,1,1,0,-0.5869565217391305,1,0,0,0,1,0,1,1,1,0.46274149034038653,-0.35924653739612183,1,0,0,0,1,0,0,0.6120506990575467,-0.1493092087171602,3,6.483087381479156,0,1,1,0.11568537258509663,0,1,0
0,0,1,1,-0.043478260869565216,1,0,1,1,1,1,0,0,0,-0.07727690892364285,0.14093444136657438,0,0,1,0,0,0,1,-3.2415667074654824,3.1642897985418394,4,51.76123494687648,0,0,0,-0.01545538178472857,1,0,0
1,0,0,0,-0.6086956521739131,1,0,0,0,0,0,0,0,0,-0.9227230910763569,-0.40695106186518926,0,1,0,0,0,0,0,0.6685635571329405,-1.5912866482092973,0,0.0,0,1,1,-0.9227230910763569,0,0,0
1,1,0,0,-0.6086956521739131,1,0,0,0,0,0,0,0,0,-0.4618215271389144,-0.3995493998153278,0,0,0,0,0,0,0,0.6564036637883433,-1.1182251909272576,0,0.0,0,1,1,-0.4618215271389144,0,0,0
0,0,1,1,0.9347826086956522,1,1,1,1,0,1,1,0,0,0.5436982520699175,1.7297802400738689,1,0,0,1,0,0,0,1.8504606028420985,-1.306762350772181,5,9.196260581497029,1,0,0,0.09061637534498625,0,0,0
1,0,0,0,-0.5217391304347826,1,0,0,0,0,0,0,0,1,-0.011959521619135079,-0.3192834718374884,1,0,0,0,0,1,0,0.6119611606140773,-0.6239206822332124,0,0.0,0,1,1,-0.011959521619135079,0,0,1
0,0,0,0,0.3695652173913043,1,0,0,0,1,0,0,0,1,0.08187672493100281,0.635516158818098,1,0,0,0,1,0,0,1.7196273060456726,-1.6377505811146698,1,12.213333978718701,0,0,0,0.04093836246550141,0,1,0
1,0,0,0,0.10869565217391304,1,1,0,1,1,0,1,1,1,0.6623735050597976,0.6357968605724839,1,0,0,0,0,1,0,5.849277303915655,-5.186903798855857,5,7.548599714822374,0,0,0,0.11039558417663294,0,0,1
0,0,0,0,-0.391304347826087,1,1,0,0,1,0,1,1,1,0.5059797608095676,-0.08630101569713752,1,0,0,0,0,0,0,0.22054760373656096,0.2854321570730067,4,7.9054389214325305,0,1,1,0.10119595216191353,0,0,1
1,0,1,1,-0.41304347826086957,1,0,0,1,0,0,0,0,0,-0.38270469181232747,-0.2723619575253924,0,0,1,0,0,0,1,0.6594042304611921,-1.0421089222735196,1,2.6129739415801096,0,1,0,-0.19135234590616373,0,0,0
0,0,1,1,0.8913043478260869,1,1,1,1,0,0,1,0,1,-0.02115915363385449,1.0267405355494,0,0,0,1,1,0,0,1.1519515035488594,-1.173110657182714,4,189.03454432392834,1,0,0,-0.004231830726770898,0,1,0
0,0,1,1,-0.2608695652173913,1,0,0,0,0,0,0,0,0,-0.9126034958601655,-0.28933702677747,0,1,1,0,0,0,1,1.1091295209767986,-2.021733016836964,0,0.0,0,0,0,-0.9126034958601655,0,0,0
0,0,0,0,0.7391304347826086,1,1,1,1,1,1,1,0,1,0.17479300827966884,1.0235198522622344,0,0,0,1,1,0,0,1.3847602795614684,-1.2099672712817995,6,34.32611940793791,1,0,0,0.024970429754238407,1,1,0
0,0,1,0,-0.34782608695652173,1,1,1,1,0,1,1,0,1,0.10763569457221728,-0.12292520775623264,0,0,0,0,0,1,0,0.35341098835576035,-0.24577529378354307,5,46.45255988091796,0,1,1,0.01793928242870288,0,0,0
0,0,0,0,0.43478260869565216,1,1,0,0,0,0,0,1,1,0.26034958601655944,0.7414145891043398,1,0,0,0,0,1,0,1.705249632865826,-1.4449000468492665,2,7.681949292300772,1,0,0,0.08678319533885315,0,0,0
1,0,0,0,-0.5869565217391305,1,0,0,1,0,0,0,0,0,-0.3882244710211591,-0.384258541089566,0,0,0,0,0,0,1,0.6546638149872416,-1.0428882860084006,1,2.575822749006332,0,1,1,-0.19411223551057954,0,0,0
0,0,0,0,-0.5869565217391305,1,0,0,0,0,0,1,0,1,0.1895124195032201,-0.37032686980609414,1,0,0,0,0,1,0,0.6309283345845822,-0.44141591508136213,1,5.276671185720485,0,1,1,0.09475620975161005,0,0,1
1,0,0,0,0.5,1,1,1,0,0,1,1,1,1,0.17295308187672506,0.8333370267774701,0,0,0,1,1,0,0,1.6666707202134998,-1.4937176383367747,5,28.909407316352357,1,0,0,0.028825513646120845,0,1,0
0,0,1,1,0.8695652173913043,1,1,1,0,1,1,0,0,1,-0.1140754369825205,0.8440627885503234,0,0,0,1,1,0,0,0.9706710905611177,-1.084746527543638,4,35.064208751653986,1,0,0,-0.022815087396504098,1,1,0
0,1,0,0,0.30434782608695654,1,1,0,1,0,0,1,0,1,0.3661453541858327,0.72133702677747,1,0,0,0,0,1,0,2.3700995862273326,-2.0039542320415,3,8.193444959108865,0,0,0,0.09153633854645818,0,0,0
0,0,0,0,-0.30434782608695654,1,0,1,1,0,0,1,1,1,0.5289788408463661,0.008546629732225353,1,0,0,0,1,0,0,-0.028081875674903375,0.5570607165212695,4,7.561724835487136,0,0,0,0.10579576816927323,0,1,1
0,1,1,0,-0.08695652173913043,1,1,1,0,0,1,1,0,1,-0.015639374425022896,0.10494552169898436,0,0,0,0,1,0,0,-1.2068873787431758,1.1912480043181528,4,255.74835303178133,0,0,0,-0.0031278748850045793,0,1,0
0,1,1,0,-0.45652173913043476,1,1,0,1,0,0,0,0,1,0.1895124195032201,-0.2257950138504155,1,0,0,0,1,0,0,0.494599685176411,-0.3050872656731909,2,10.55334237144097,0,1,1,0.06317080650107336,0,1,1
0,1,1,1,0.6739130434782609,1,0,1,1,1,1,0,1,1,0.0827966881324747,0.9038227146814406,0,0,1,0,1,0,0,1.341154296201569,-1.2583576080690944,5,60.38815953411763,1,0,0,0.013799448022079117,1,1,0
1,1,0,0,-0.2391304347826087,1,1,0,0,0,0,1,1,1,0.46182152713891467,0.10491597414589106,1,0,0,0,0,1,0,-0.4387413629830623,0.900562890121977,3,6.496001870211087,0,0,0,0.11545538178472867,0,0,1
0,0,1,1,0.7391304347826086,1,1,1,0,0,0,1,1,1,0.5390984360625578,1.4518855032317637,1,0,1,0,1,0,0,1.9643130232430017,-1.4252145871804438,4,7.419781458528245,1,0,0,0.10781968721251156,0,1,0
1,1,1,1,0.8043478260869565,1,1,0,1,1,1,1,1,1,0.7010119595216193,1.6779686057248384,1,0,1,0,0,1,0,2.0861205378864276,-1.3851085783648083,6,8.559042908556899,1,0,0,0.10014456564594562,0,0,0
0,0,1,1,0.10869565217391304,1,1,0,0,0,0,0,0,0,-0.8353265869365225,-0.1486759002770083,0,1,0,1,1,0,0,-1.367805698736048,0.5324791117995256,1,1.1971351307424152,0,0,0,-0.41766329346826125,0,1,0
0,0,0,0,0.9347826086956522,1,1,0,0,1,1,1,1,1,0.6835326586936524,1.9076565096952909,1,0,0,1,1,0,0,2.040746641200881,-1.3572139825072282,5,7.314928733071959,1,0,0,0.1139221097822754,0,1,0
0,0,1,0,0.391304347826087,1,1,0,0,1,0,1,1,1,0.5547378104875806,0.9779132040627887,1,0,0,0,0,1,0,2.499105134891782,-1.9443673244042012,4,7.210600600459612,1,0,0,0.11094756209751613,0,0,0
1,0,0,0,0.6739130434782609,1,1,0,1,0,0,1,0,1,0.35970561177552923,1.197628808864266,1,0,0,0,0,0,0,1.777123982582356,-1.4174183708068266,3,8.34013026669667,1,0,0,0.08992640294388231,0,0,0
1,0,1,0,0.9347826086956522,0,0,1,1,1,0,0,0,0,-0.5197792088316466,0.46227885503231764,0,0,0,1,0,0,0,0.4945303391416514,-1.014309547973298,3,5.771670311848445,1,0,0,-0.12994480220791166,1,0,0
0,0,1,1,-0.2391304347826087,1,0,0,0,1,1,0,0,1,-0.29346826126954917,-0.13012003693444132,0,0,1,0,1,0,0,0.5441406117684038,-0.837608873037953,2,6.815023799589751,0,0,0,-0.09782275375651639,0,1,0
0,0,0,0,-0.43478260869565216,1,1,0,0,0,0,1,1,0,0.44250229990800394,-0.15962326869806093,1,0,0,0,0,1,0,0.3671343624145737,0.07536793749343024,3,6.779610458551829,0,1,1,0.11062557497700098,0,0,1
0,0,0,0,-0.5652173913043478,1,0,0,1,0,1,1,1,1,0.09107635694572223,-0.34079409048938136,0,0,0,0,0,1,0,0.6029444576137152,-0.5118681006679929,4,43.918709700631844,0,1,1,0.018215271389144447,0,0,0
1,0,1,0,0.391304347826087,1,1,0,1,0,0,0,0,1,0.15731370745170214,0.6656694367497692,1,0,1,0,0,1,0,1.7011508798638284,-1.5438371724121263,2,12.713369477002196,1,0,0,0.05243790248390071,0,0,0
0,0,0,0,0.043478260869565216,1,0,0,1,1,1,1,1,0,0.16283348666053377,0.32494182825484763,0,0,0,1,0,0,1,7.473490159587825,-7.310656672927291,5,30.706026116099466,0,0,0,0.027138914443422296,0,0,0
0,0,1,1,0.45652173913043476,1,0,0,0,0,0,0,0,0,-0.9236430542778289,-0.13786149584487534,0,1,0,1,0,0,0,-0.30198166274798954,-0.6216613915298393,0,0.0,1,0,0,-0.9236430542778289,0,0,0
1,0,0,0,-0.41304347826086957,1,0,1,0,1,0,0,0,1,0.17479300827966884,-0.1507294552169898,1,0,0,0,0,0,1,0.3649248277117687,-0.19013181943209986,2,11.442039802645969,0,1,1,0.05826433609322295,1,0,0
1,0,0,0,-0.6086956521739131,1,0,0,0,0,1,0,0,0,-0.39190432382704693,-0.3984265927977839,0,0,0,0,0,0,1,0.654559049229083,-1.04646337305613,1,2.5516366816218947,0,1,1,-0.19595216191352346,0,0,0
0,0,1,1,0.5,1,0,0,0,0,0,0,0,1,-0.9190432382704692,-0.0906592797783933,0,1,1,0,0,1,0,-0.18131819692039275,-0.7377250413500764,0,0.0,1,0,0,-0.9190432382704692,0,0,0
1,1,1,1,0.7608695652173914,1,1,1,0,1,1,1,1,1,0.7589696412143515,1.6846611265004616,1,0,0,1,0,0,0,2.21412314198162,-1.4551535007672687,6,7.905444129433007,1,0,0,0.10842423445919307,1,0,0
1,0,1,1,0.717391304347826,1,1,0,0,0,0,0,0,1,-0.8482060717571297,0.00801477377654663,0,1,0,1,0,0,0,0.011172093327419755,-0.8593781650845495,1,1.178957395307279,1,0,0,-0.42410303587856485,0,0,0
0,0,0,1,-0.5652173913043478,1,0,1,0,0,1,0,1,1,-0.10763569457221701,-0.36050230840258535,0,0,0,0,0,0,0,0.6378129048427904,-0.7454485994150074,3,27.87153592855084,0,1,1,-0.026908923643054253,0,0,0
0,1,0,0,0.5869565217391305,1,1,1,1,1,0,1,1,0,0.7387304507819689,1.401152354570637,1,0,1,0,0,1,0,2.3871443889484225,-1.6484139381664535,6,8.122031346640005,1,0,0,0.10553292154028127,1,0,0
0,0,0,0,0.3695652173913043,1,0,0,0,0,0,0,1,0,-0.27046918123275066,0.3815697137580794,0,0,1,0,1,0,0,1.0324799611054967,-1.3029491423382473,1,3.697265241743818,0,0,0,-0.13523459061637533,0,1,0
0,0,1,1,-0.45652173913043476,1,0,1,1,0,0,0,0,0,-0.28886844526218947,-0.2704265927977839,0,0,0,0,0,0,1,0.5923643103550637,-0.8812327556172531,2,6.923542911174701,0,1,1,-0.09628948175406316,0,0,0
1,1,0,0,0.021739130434782608,1,0,1,1,0,0,1,1,1,0.08095676172953094,0.21091782086795946,0,0,0,0,0,1,0,9.701773478346132,-9.6208167166166,4,49.4084806020634,0,0,0,0.016191352345906188,0,0,0
0,0,1,1,0.34782608695652173,1,1,0,0,0,0,0,0,1,-0.8178472861085556,-0.053444136657433056,0,1,1,0,1,0,0,-0.15365145114219803,-0.6641958349663576,1,1.2227206646823818,0,0,0,-0.4089236430542778,0,1,0
0,0,0,1,-0.6086956521739131,1,0,0,0,0,0,1,0,1,0.1655933762649494,-0.3894736842105263,1,0,0,0,0,1,0,0.6398506752434026,-0.47425729897845315,1,6.038852420930102,0,1,1,0.0827966881324747,0,0,1
0,0,1,1,-0.391304347826087,0,0,1,0,0,0,1,1,0,-0.36430542778288866,-0.24587257617728528,0,0,0,0,0,1,0,0.6283426337731264,-0.992648061556015,3,8.234825880667344,0,1,1,-0.09107635694572216,0,0,0
0,0,1,0,-0.4782608695652174,1,0,0,0,1,0,0,0,1,0.08831646734130656,-0.2660978762696214,1,0,0,0,0,0,0,0.5563876319197114,-0.46807116457840486,1,11.322788459676476,0,1,1,0.04415823367065328,0,0,1
0,0,0,0,0.2826086956521739,1,0,0,1,1,1,1,1,1,0.6154553817847287,0.8657506925207756,1,0,0,0,0,0,0,3.063414687606158,-2.4479593058214295,5,8.1240525697382,0,0,0,0.10257589696412145,0,0,0
0,0,1,0,0.43478260869565216,1,0,0,0,0,0,0,0,1,-0.9236430542778289,-0.12531855955678667,0,1,0,1,0,0,0,-0.288232024046954,-0.6354110302308749,0,0.0,1,0,0,-0.9236430542778289,0,0,0
1,0,0,0,-0.43478260869565216,1,1,0,1,0,0,1,1,1,0.532658693652254,-0.14145152354570634,1,0,0,0,1,0,0,0.3253392524354052,0.20731944121684887,4,7.509485038324287,0,1,1,0.10653173873045081,0,1,0
0,0,1,0,0.13043478260869565,1,0,1,0,0,0,1,0,1,-0.15087396504139827,0.24169159741458907,0,0,1,0,0,0,0,1.8529547075257584,-2.0038286725671566,2,13.256009699496692,0,0,0,-0.05029132168046609,0,0,0
0,0,1,1,0.41304347826086957,1,0,0,0,0,0,0,0,0,-0.9144434222631095,-0.10060203139427513,0,1,0,1,0,0,0,-0.24356222317233633,-0.6708811990907732,0,0.0,1,0,0,-0.9144434222631095,0,0,0
0,0,1,1,0.3695652173913043,1,0,0,0,0,0,0,0,1,-0.9273229070837166,-0.13898430286241917,0,1,0,1,0,0,1,-0.37607415483883294,-0.5512487522448837,0,0.0,0,0,0,-0.9273229070837166,0,0,0
1,0,1,0,0.0,0,0,0,0,0,0,1,0,0,-0.6734130634774609,-0.11471098799630652,0,0,0,0,0,0,1,-114710.98799630653,114710.31458324306,1,1.4849704724550499,0,0,0,-0.33670653173873044,0,0,0
1,0,1,1,0.021739130434782608,1,0,0,1,1,0,0,0,0,0.2152713891444343,0.34651154201292705,1,0,0,0,0,0,0,15.93879774789824,-15.723526358753807,2,9.290555133190468,0,0,0,0.07175712971481144,0,0,0
1,1,0,0,-0.6086956521739131,1,0,0,0,0,1,0,0,0,0.08003679852805905,-0.39084764542936284,1,0,0,0,0,1,0,0.6421079009540762,-0.5620711024260172,1,12.49409676915873,0,1,1,0.040018399264029524,0,0,0
1,0,1,1,0.8043478260869565,1,1,1,0,1,1,1,1,1,0.25114995400184004,1.275501385041551,0,0,0,1,0,0,1,1.5857565072192437,-1.3346065532174036,6,23.89001476759687,1,0,0,0.03587856485740572,1,0,0
0,0,0,0,0.782608695652174,1,1,1,1,1,0,1,1,1,0.7488500459981602,1.6870249307479224,1,0,0,0,1,0,0,2.155640212637629,-1.4067901666394687,6,8.012274312847445,1,0,0,0.10697857799973717,1,1,0
1,0,0,0,0.9347826086956522,1,1,0,1,1,0,1,1,1,0.5620975160993563,1.7910470914127425,1,0,0,1,0,0,0,1.9160018155558753,-1.3539042994565191,5,8.895237857408258,1,0,0,0.09368291934989272,0,0,0
0,0,0,0,-0.3695652173913043,1,1,1,0,0,0,0,0,1,0.15823367065317404,-0.13891043397968603,1,0,0,0,0,1,0,0.3758763090221042,-0.2176426383689302,2,12.639455005304692,0,1,1,0.05274455688439134,0,0,1
1,0,1,1,0.9130434782608695,1,1,1,1,0,1,0,0,1,-0.06439742410303588,0.9902049861495844,0,0,1,0,1,0,0,1.0845090351301254,-1.1489064592331613,4,62.11332118314105,1,0,0,-0.012879484820607176,0,1,0
1,0,0,0,-0.5217391304347826,1,0,0,0,0,0,0,0,0,-0.907083716651334,-0.3792797783933518,0,1,0,0,0,0,1,0.7269543019163364,-1.6340380185676704,0,0.0,0,1,1,-0.907083716651334,0,0,1
1,0,0,0,0.5,1,0,0,0,0,0,0,0,0,-0.9080036798528058,-0.08576915974145886,0,1,0,1,0,0,0,-0.17153797640696491,-0.736465703445841,0,0.0,1,0,0,-0.9080036798528058,0,0,0
0,1,1,0,-0.08695652173913043,1,0,0,1,1,0,1,1,1,0.517939282428703,0.33005355493998156,1,0,0,0,0,1,0,-3.795659531894405,4.313598814323108,4,7.722898055434835,0,0,0,0.1035878564857406,0,0,1
1,0,0,0,-0.6086956521739131,1,0,0,0,0,0,0,0,0,-0.9227230910763569,-0.40695106186518926,0,1,0,0,0,0,1,0.6685635571329405,-1.5912866482092973,0,0.0,0,1,1,-0.9227230910763569,0,0,0
0,0,1,1,-0.6086956521739131,1,0,0,0,0,0,0,0,0,-0.936522539098436,-0.4071726685133887,0,1,0,0,0,1,0,0.6689276257959523,-1.6054501648943882,0,0.0,0,1,1,-0.936522539098436,0,0,0
1,0,0,0,0.1956521739130435,1,1,0,0,1,1,1,0,0,0.4535418583256671,0.6524469067405355,1,0,1,0,0,0,0,3.334711590370164,-2.881169732044497,4,8.819453170901424,0,0,0,0.09070837166513343,0,0,0
0,1,1,0,0.8043478260869565,0,0,0,1,1,0,1,0,0,-0.45630174793008277,0.48155863342566946,0,0,1,0,0,0,0,0.5986937729099254,-1.0549955208400081,3,6.574582365784211,1,0,0,-0.11407543698252069,0,0,0
1,0,1,0,0.8478260869565217,1,1,0,1,1,1,1,1,1,0.7295308187672495,1.836195752539243,1,0,0,1,0,0,0,2.1657667946546826,-1.436235975887433,6,8.224452786910238,1,0,0,0.10421868839532135,0,0,1
1,0,0,0,-0.5217391304347826,0,0,0,0,0,0,0,0,0,-0.8472861085556578,-0.38331301939058166,0,0,0,0,0,0,1,0.7346846953109476,-1.5819708038666054,0,0.0,0,1,1,-0.8472861085556578,0,0,0
0,0,1,1,0.9347826086956522,1,1,1,1,0,0,1,1,1,0.6218951241950325,1.744952908587258,1,0,1,0,0,1,0,1.866691812260244,-1.2447966880652115,5,8.039927900293447,1,0,0,0.10364918736583874,0,0,0
0,0,0,0,0.06521739130434782,0,0,1,0,0,0,0,0,0,-0.7396504139834407,-0.13882179132040626,0,0,1,0,0,0,1,-2.1285681622010757,1.3889177482176351,1,1.3519882218766204,0,0,0,-0.36982520699172033,0,0,0
1,0,0,0,0.30434782608695654,1,1,0,0,0,0,1,1,0,0.4415823367065318,0.7457285318559558,1,0,1,0,0,0,1,2.4502428395859535,-2.0086605028794215,3,6.793734615021819,0,0,0,0.11039558417663295,0,0,0
1,0,1,1,0.9347826086956522,1,0,0,0,0,0,0,0,0,-0.937442502299908,-0.010112650046168025,0,1,0,1,1,0,0,-0.010818172197390884,-0.9266243301025171,0,0.0,1,0,0,-0.937442502299908,0,1,0
1,0,1,0,0.5652173913043478,1,1,1,1,0,0,1,0,1,0.48574057037718504,1.1350470914127424,1,0,0,0,0,1,0,2.008156685760716,-1.5224161153835307,4,8.234831531700992,1,0,0,0.09714811407543701,0,0,1
0,0,0,0,0.5,1,0,1,0,1,1,0,0,0,-0.22815087396504127,0.4859907663896584,0,0,1,0,1,0,0,0.971979588820139,-1.2001304627851803,3,13.149135914876057,1,0,0,-0.05703771849126032,1,1,0
0,0,0,0,0.30434782608695654,1,0,0,1,1,0,1,0,1,0.39190432382704715,0.7554201292705448,1,0,0,0,0,1,0,2.4820865550331095,-2.0901822312060623,3,7.654910044865679,0,0,0,0.09797608095676179,0,0,0
0,1,1,0,0.17391304347826086,1,1,0,0,0,0,0,0,1,0.11315547378104887,0.4345484764542937,1,0,0,0,0,1,0,2.498639372435797,-2.385483898654748,1,8.837320275063902,0,0,0,0.056577736890524435,0,0,1
